Commit SHA,Java File,Old function signature,New function signature
ef6f8719fe697458e50f8c9cf07c1ec07427acb9,clients/java/kv/src/main/java/org/apache/distributedlog/clients/impl/kv/TableRangeFactory.java,"openTableRange(StreamProperties, RangeProperties, ScheduledExecutorService)","openTableRange(StreamProperties, RangeProperties, ScheduledExecutorService, OpFactory, ResultFactory, KeyValueFactory)"
83f0796923992ec486d0828c2ba34bb8de7727c6,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,"LedgerCreateOp(BookKeeper, int, int, int, DigestType, byte[], CreateCallback, Object, Map, EnumSet)","LedgerCreateOp(BookKeeper, int, int, int, DigestType, byte[], CreateCallback, Object, Map, EnumSet, StatsLogger)"
f4d35c4aed390514a4f9965cb69e4bb7e9df8078,storage/api/src/main/java/org/apache/distributedlog/stream/storage/api/metadata/stream/MetaRange.java,"delete()","delete(long)"
f4d35c4aed390514a4f9965cb69e4bb7e9df8078,storage/impl/src/main/java/org/apache/distributedlog/stream/storage/impl/metadata/stream/MetaRangeImpl.java,"delete()","delete(long)"
f4d35c4aed390514a4f9965cb69e4bb7e9df8078,storage/impl/src/main/java/org/apache/distributedlog/stream/storage/impl/metadata/stream/MetaRangeImpl.java,"MetaRangeImpl(ExecutorService, StorageContainerPlacementPolicy, NavigableMap, List, StreamMetadata, long, long)","MetaRangeImpl(MVCCAsyncStore, ExecutorService, StorageContainerPlacementPolicy, NavigableMap, List, StreamMetadata, long, long)"
f4d35c4aed390514a4f9965cb69e4bb7e9df8078,storage/impl/src/main/java/org/apache/distributedlog/stream/storage/impl/metadata/stream/MetaRangeImpl.java,"MetaRangeImpl(ExecutorService, StorageContainerPlacementPolicy)","MetaRangeImpl(MVCCAsyncStore, ExecutorService, StorageContainerPlacementPolicy)"
f4d35c4aed390514a4f9965cb69e4bb7e9df8078,storage/impl/src/main/java/org/apache/distributedlog/stream/storage/impl/metadata/stream/MetaRangeImpl.java,"MetaRangeImpl(ExecutorService, StorageContainerPlacementPolicy)","MetaRangeImpl(MVCCAsyncStore, ExecutorService, StorageContainerPlacementPolicy, NavigableMap, List, StreamMetadata, long, long)"
e95abb9e445f851b3be8bb82b087c3d2ea27f701,storage/impl/src/main/java/org/apache/distributedlog/stream/storage/StorageResources.java,"StorageResources()","StorageResources(StorageResourcesSpec)"
c53756bdb1fafb3221b32222602cbc86327e17a7,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,"BookieWatcher(ClientConfiguration, EnsemblePlacementPolicy, RegistrationClient)","BookieWatcher(ClientConfiguration, EnsemblePlacementPolicy, RegistrationClient, StatsLogger)"
ade42464ad0f65419b1f47dd111514ce11e092ee,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,"GarbageCollectorThread(ServerConfiguration, LedgerManager, CompactableLedgerStorage)","GarbageCollectorThread(ServerConfiguration, LedgerManager, CompactableLedgerStorage, StatsLogger)"
ade42464ad0f65419b1f47dd111514ce11e092ee,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ScanAndCompareGarbageCollector.java,"ScanAndCompareGarbageCollector(LedgerManager, CompactableLedgerStorage, ServerConfiguration)","ScanAndCompareGarbageCollector(LedgerManager, CompactableLedgerStorage, ServerConfiguration, StatsLogger)"
793cc3a67ff978b923c09aa58dd87992bb8e31b6,impl/src/main/java/org/apache/distributedlog/statestore/impl/kv/RocksdbKVStore.java,"putRaw(K, byte[], V)","putRaw(K, byte[], V, long)"
be193caab408c7df1cda0944a22e2c29d148a976,impl/src/main/java/org/apache/distributedlog/statestore/impl/rocksdb/checkpoint/RocksCheckpointer.java,"RocksCheckpointer(String, File, RocksDB, CheckpointStore)","RocksCheckpointer(String, File, RocksDB, CheckpointStore, boolean, boolean)"
be193caab408c7df1cda0944a22e2c29d148a976,impl/src/main/java/org/apache/distributedlog/statestore/impl/rocksdb/checkpoint/RocksdbCheckpointTask.java,"RocksdbCheckpointTask(String, Checkpoint, File, CheckpointStore)","RocksdbCheckpointTask(String, Checkpoint, File, CheckpointStore, boolean, boolean)"
78f862362ef35d07f2889de81e1c64c1f1cc9b2a,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,"LocalBookKeeper(int, int)","LocalBookKeeper(int, int, String)"
78f862362ef35d07f2889de81e1c64c1f1cc9b2a,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,"startLocalBookiesInternal(ServerConfiguration, String, int, int, boolean, int, boolean, String, String)","startLocalBookiesInternal(ServerConfiguration, String, int, int, boolean, int, boolean, String, String, String)"
d6de867f594ee5f7aef25ed8d6591029befe8c19,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,"startLocalBookiesInternal(ServerConfiguration, String, int, int, boolean, int, boolean, String)","startLocalBookiesInternal(ServerConfiguration, String, int, int, boolean, int, boolean, String, String)"
d6de867f594ee5f7aef25ed8d6591029befe8c19,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,"initializeZookeeper(String, int)","initializeZookeeper(AbstractConfiguration, String, int)"
6a5f6367a77094406ff0c938cf6b7f6d804451e1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,"initialize(ServerConfiguration, LedgerManager, LedgerDirsManager, LedgerDirsManager, CheckpointSource, Checkpointer, StatsLogger)","initialize(ServerConfiguration, LedgerManager, LedgerDirsManager, LedgerDirsManager, StateManager, CheckpointSource, Checkpointer, StatsLogger)"
6a5f6367a77094406ff0c938cf6b7f6d804451e1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java,"initialize(ServerConfiguration, LedgerManager, LedgerDirsManager, LedgerDirsManager, CheckpointSource, Checkpointer, StatsLogger)","initialize(ServerConfiguration, LedgerManager, LedgerDirsManager, LedgerDirsManager, StateManager, CheckpointSource, Checkpointer, StatsLogger)"
6a5f6367a77094406ff0c938cf6b7f6d804451e1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/SortedLedgerStorage.java,"initialize(ServerConfiguration, LedgerManager, LedgerDirsManager, LedgerDirsManager, CheckpointSource, Checkpointer, StatsLogger)","initialize(ServerConfiguration, LedgerManager, LedgerDirsManager, LedgerDirsManager, StateManager, CheckpointSource, Checkpointer, StatsLogger)"
6a5f6367a77094406ff0c938cf6b7f6d804451e1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/storage/ldb/DbLedgerStorage.java,"initialize(ServerConfiguration, LedgerManager, LedgerDirsManager, LedgerDirsManager, CheckpointSource, Checkpointer, StatsLogger)","initialize(ServerConfiguration, LedgerManager, LedgerDirsManager, LedgerDirsManager, StateManager, CheckpointSource, Checkpointer, StatsLogger)"
4424ba74748c7156e7b296d09f6b5f0b328e71c8,distributedlog-io/statestore/src/main/java/org/apache/distributedlog/statestore/impl/mvcc/result/ResultFactory.java,"newRangeResult()","newRangeResult(long)"
4424ba74748c7156e7b296d09f6b5f0b328e71c8,distributedlog-io/statestore/src/main/java/org/apache/distributedlog/statestore/impl/mvcc/result/ResultFactory.java,"newTxnResult()","newTxnResult(long)"
4424ba74748c7156e7b296d09f6b5f0b328e71c8,distributedlog-io/statestore/src/main/java/org/apache/distributedlog/statestore/impl/mvcc/result/ResultFactory.java,"newDeleteResult()","newDeleteResult(long)"
4424ba74748c7156e7b296d09f6b5f0b328e71c8,distributedlog-io/statestore/src/main/java/org/apache/distributedlog/statestore/impl/mvcc/result/ResultFactory.java,"newPutResult()","newPutResult(long)"
e7292cdcdc307d356bb63d55608a530487c74f96,distributedlog-io/statestore/src/main/java/org/apache/distributedlog/statestore/impl/mvcc/MVCCStoreImpl.java,"deleteUsingIter(WriteBatch, byte[], byte[], List, List, boolean)","deleteUsingIter(WriteBatch, K, byte[], byte[], List, List, boolean)"
a25d9f3c252f1082a3ace50db6958f109c53af3f,distributedlog-io/statestore/src/main/java/org/apache/distributedlog/statestore/impl/mvcc/MVCCStoreImpl.java,"put(WriteBatch, PutOp)","put(long, WriteBatch, PutOp)"
477ff2b594afd4017f6fb9e8f294c9b2a75b0d6a,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieRequestProcessor.java,"createExecutor(int, String, int)","createExecutor(int, String, int, StatsLogger)"
de9fe40fd5b2189d89f1f51c62201aff08718064,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/UpdateLedgerOpTest.java,"testManyLedgers()","testManyLedgers(boolean)"
de9fe40fd5b2189d89f1f51c62201aff08718064,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/UpdateLedgerOpTest.java,"testChangeEnsembleAfterRenaming()","testChangeEnsembleAfterRenaming(boolean)"
3e4ff0dca8557ff03dda2d292c3c6678df8f1a02,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,"LedgerCreateOp(BookKeeper, int, int, int, DigestType, byte[], CreateCallback, Object, Map)","LedgerCreateOp(BookKeeper, int, int, int, DigestType, byte[], CreateCallback, Object, Map, EnumSet)"
3e4ff0dca8557ff03dda2d292c3c6678df8f1a02,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,"LedgerHandle(BookKeeper, long, LedgerMetadata, DigestType, byte[])","LedgerHandle(BookKeeper, long, LedgerMetadata, DigestType, byte[], EnumSet)"
3e4ff0dca8557ff03dda2d292c3c6678df8f1a02,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandleAdv.java,"LedgerHandleAdv(BookKeeper, long, LedgerMetadata, DigestType, byte[])","LedgerHandleAdv(BookKeeper, long, LedgerMetadata, DigestType, byte[], EnumSet)"
786da273b0f90c1b35b7244b0408959fd034d411,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,"BookieClient(ClientConfiguration, EventLoopGroup, OrderedSafeExecutor, StatsLogger)","BookieClient(ClientConfiguration, EventLoopGroup, OrderedSafeExecutor, ScheduledExecutorService, StatsLogger)"
786da273b0f90c1b35b7244b0408959fd034d411,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,"BookieClient(ClientConfiguration, EventLoopGroup, OrderedSafeExecutor)","BookieClient(ClientConfiguration, EventLoopGroup, OrderedSafeExecutor, ScheduledExecutorService, StatsLogger)"
81cbba3cf620f2a6df48c0da6ee1ac019de24fbc,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/CacheCallback.java,"onSizeLimitReached()","onSizeLimitReached(Checkpoint)"
81cbba3cf620f2a6df48c0da6ee1ac019de24fbc,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,"initialize(ServerConfiguration, LedgerManager, LedgerDirsManager, LedgerDirsManager, CheckpointSource, StatsLogger)","initialize(ServerConfiguration, LedgerManager, LedgerDirsManager, LedgerDirsManager, CheckpointSource, Checkpointer, StatsLogger)"
81cbba3cf620f2a6df48c0da6ee1ac019de24fbc,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java,"initialize(ServerConfiguration, LedgerManager, LedgerDirsManager, LedgerDirsManager, CheckpointSource, StatsLogger)","initialize(ServerConfiguration, LedgerManager, LedgerDirsManager, LedgerDirsManager, CheckpointSource, Checkpointer, StatsLogger)"
81cbba3cf620f2a6df48c0da6ee1ac019de24fbc,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/SortedLedgerStorage.java,"onSizeLimitReached()","onSizeLimitReached(Checkpoint)"
81cbba3cf620f2a6df48c0da6ee1ac019de24fbc,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/SortedLedgerStorage.java,"initialize(ServerConfiguration, LedgerManager, LedgerDirsManager, LedgerDirsManager, CheckpointSource, StatsLogger)","initialize(ServerConfiguration, LedgerManager, LedgerDirsManager, LedgerDirsManager, CheckpointSource, Checkpointer, StatsLogger)"
81cbba3cf620f2a6df48c0da6ee1ac019de24fbc,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/TestEntryMemTable.java,"onSizeLimitReached()","onSizeLimitReached(Checkpoint)"
