Commit SHA,Java File,Old function signature,New function signature
e58fc03d42f4c1e8a0c7a7eb116893c4de0ebfe9,server/src/main/java/org/elasticsearch/index/shard/StoreRecovery.java,"restore(IndexShard, Repository, SnapshotRecoverySource)","restore(IndexShard, Repository, SnapshotRecoverySource, ActionListener)"
e58fc03d42f4c1e8a0c7a7eb116893c4de0ebfe9,server/src/main/java/org/elasticsearch/index/shard/StoreRecovery.java,"recoverFromRepository(IndexShard, Repository)","recoverFromRepository(IndexShard, Repository, ActionListener)"
e58fc03d42f4c1e8a0c7a7eb116893c4de0ebfe9,server/src/main/java/org/elasticsearch/repositories/FilterRepository.java,"restoreShard(Store, SnapshotId, IndexId, ShardId, RecoveryState)","restoreShard(Store, SnapshotId, IndexId, ShardId, RecoveryState, ActionListener)"
e58fc03d42f4c1e8a0c7a7eb116893c4de0ebfe9,server/src/main/java/org/elasticsearch/repositories/Repository.java,"restoreShard(Store, SnapshotId, IndexId, ShardId, RecoveryState)","restoreShard(Store, SnapshotId, IndexId, ShardId, RecoveryState, ActionListener)"
e58fc03d42f4c1e8a0c7a7eb116893c4de0ebfe9,server/src/main/java/org/elasticsearch/repositories/blobstore/BlobStoreRepository.java,"restoreShard(Store, SnapshotId, IndexId, ShardId, RecoveryState)","restoreShard(Store, SnapshotId, IndexId, ShardId, RecoveryState, ActionListener)"
e58fc03d42f4c1e8a0c7a7eb116893c4de0ebfe9,server/src/main/java/org/elasticsearch/repositories/blobstore/FileRestoreContext.java,"restoreFiles(List, Store)","restoreFiles(List, Store, ActionListener)"
e58fc03d42f4c1e8a0c7a7eb116893c4de0ebfe9,server/src/main/java/org/elasticsearch/repositories/blobstore/FileRestoreContext.java,"restore(SnapshotFiles, Store)","restore(SnapshotFiles, Store, ActionListener)"
e58fc03d42f4c1e8a0c7a7eb116893c4de0ebfe9,x-pack/plugin/ccr/src/main/java/org/elasticsearch/xpack/ccr/repository/CcrRepository.java,"restoreShard(Store, SnapshotId, IndexId, ShardId, RecoveryState)","restoreShard(Store, SnapshotId, IndexId, ShardId, RecoveryState, ActionListener)"
678492d7983d3f2c35d1f45393c70034b60972b4,x-pack/plugin/security/src/main/java/org/elasticsearch/xpack/security/authc/oidc/OpenIdConnectAuthenticator.java,"createIdTokenValidator()","createIdTokenValidator(boolean)"
63cbf85b360d413e5fa3cf3904b1eb021cf26a71,buildSrc/src/minimumRuntime/java/org/elasticsearch/gradle/VersionProperties.java,"getBundledJdk()","getBundledJdk(String)"
451a5c0621e537cb73b03ee3a049a8c38b807522,client/rest-high-level/src/main/java/org/elasticsearch/client/transform/StopTransformRequest.java,"StopTransformRequest(String, Boolean, TimeValue)","StopTransformRequest(String, Boolean, TimeValue, Boolean)"
451a5c0621e537cb73b03ee3a049a8c38b807522,x-pack/plugin/transform/src/main/java/org/elasticsearch/xpack/transform/transforms/ClientTransformIndexer.java,"ClientTransformIndexer(TransformConfigManager, CheckpointProvider, AtomicReference, TransformIndexerPosition, Client, TransformAuditor, TransformIndexerStats, TransformConfig, Map, TransformProgress, TransformCheckpoint, TransformCheckpoint, TransformTask)","ClientTransformIndexer(TransformConfigManager, CheckpointProvider, AtomicReference, TransformIndexerPosition, Client, TransformAuditor, TransformIndexerStats, TransformConfig, Map, TransformProgress, TransformCheckpoint, TransformCheckpoint, TransformTask, boolean)"
451a5c0621e537cb73b03ee3a049a8c38b807522,x-pack/plugin/transform/src/main/java/org/elasticsearch/xpack/transform/transforms/TransformTask.java,"stop(boolean)","stop(boolean, boolean)"
e3c71f18ddd6b90333e2860840ac3986da63eaa9,server/src/main/java/org/elasticsearch/common/settings/Setting.java,"minTimeValueParser(String, TimeValue)","minTimeValueParser(String, TimeValue, boolean)"
e3c71f18ddd6b90333e2860840ac3986da63eaa9,server/src/main/java/org/elasticsearch/common/settings/Setting.java,"minMaxTimeValueParser(String, TimeValue, TimeValue)","minMaxTimeValueParser(String, TimeValue, TimeValue, boolean)"
8c13cf704b551171d188c872d74189d90a9531b3,server/src/main/java/org/elasticsearch/repositories/FilterRepository.java,"snapshotShard(Store, MapperService, SnapshotId, IndexId, IndexCommit, IndexShardSnapshotStatus, ActionListener)","snapshotShard(Store, MapperService, SnapshotId, IndexId, IndexCommit, IndexShardSnapshotStatus, boolean, ActionListener)"
8c13cf704b551171d188c872d74189d90a9531b3,server/src/main/java/org/elasticsearch/repositories/FilterRepository.java,"deleteSnapshot(SnapshotId, long, ActionListener)","deleteSnapshot(SnapshotId, long, boolean, ActionListener)"
8c13cf704b551171d188c872d74189d90a9531b3,server/src/main/java/org/elasticsearch/repositories/Repository.java,"snapshotShard(Store, MapperService, SnapshotId, IndexId, IndexCommit, IndexShardSnapshotStatus, ActionListener)","snapshotShard(Store, MapperService, SnapshotId, IndexId, IndexCommit, IndexShardSnapshotStatus, boolean, ActionListener)"
8c13cf704b551171d188c872d74189d90a9531b3,server/src/main/java/org/elasticsearch/repositories/Repository.java,"deleteSnapshot(SnapshotId, long, ActionListener)","deleteSnapshot(SnapshotId, long, boolean, ActionListener)"
8c13cf704b551171d188c872d74189d90a9531b3,server/src/main/java/org/elasticsearch/repositories/RepositoryData.java,"removeSnapshot(SnapshotId)","removeSnapshot(SnapshotId, ShardGenerations)"
8c13cf704b551171d188c872d74189d90a9531b3,server/src/main/java/org/elasticsearch/repositories/RepositoryData.java,"RepositoryData(long, Map, Map, Map)","RepositoryData(long, Map, Map, Map, ShardGenerations)"
8c13cf704b551171d188c872d74189d90a9531b3,server/src/main/java/org/elasticsearch/repositories/RepositoryData.java,"snapshotsToXContent(XContentBuilder)","snapshotsToXContent(XContentBuilder, boolean)"
8c13cf704b551171d188c872d74189d90a9531b3,server/src/main/java/org/elasticsearch/repositories/blobstore/BlobStoreRepository.java,"doDeleteShardSnapshots(SnapshotId, long, Map, Map, RepositoryData, ActionListener)","doDeleteShardSnapshots(SnapshotId, long, Map, Map, RepositoryData, boolean, ActionListener)"
8c13cf704b551171d188c872d74189d90a9531b3,server/src/main/java/org/elasticsearch/repositories/blobstore/BlobStoreRepository.java,"snapshotShard(Store, MapperService, SnapshotId, IndexId, IndexCommit, IndexShardSnapshotStatus, ActionListener)","snapshotShard(Store, MapperService, SnapshotId, IndexId, IndexCommit, IndexShardSnapshotStatus, boolean, ActionListener)"
8c13cf704b551171d188c872d74189d90a9531b3,server/src/main/java/org/elasticsearch/repositories/blobstore/BlobStoreRepository.java,"deleteSnapshot(SnapshotId, long, ActionListener)","deleteSnapshot(SnapshotId, long, boolean, ActionListener)"
